,DBN,year,Q1_funding_sources,Q2_label,Q3_label,Unnamed,school_name,grade,category,number_tested,mean_scale_score,level_1,level_1_1,level_2,level_2_1,level_3,level_3_1,level_4,level_4_1,level_3_4,level_3_4_1
59,02M312,2017,3,insufficient,same,02M312All Grades2017All Students,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE,All Grades,All Students,528,341.4261475,19.0,3.598484755,52.0,9.848484993,155.0,29.35606003,302.0,57.19696808,457.0,86.55303192
60,02M343,2017,3,insufficient,same,02M343All Grades2017All Students,THE PECK SLIP SCHOOL,All Grades,All Students,93,326.2150574,8.0,8.602150917000001,28.0,30.10752678,37.0,39.78494644,20.0,21.50537682,57.0,61.29032135
61,02M347,2017,0,insufficient,same,02M347All Grades2017All Students,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHO,All Grades,All Students,35,322.7428589,2.0,5.7142858510000005,13.0,37.1428566,11.0,31.4285717,9.0,25.7142849,20.0,57.1428566
62,02M397,2017,1,insufficient,same,02M397All Grades2017All Students,SPRUCE STREET SCHOOL,All Grades,All Students,264,333.5606079,12.0,4.545454502,52.0,19.69696999,102.0,38.63636398,98.0,37.12121201,200.0,75.75757599
63,02M407,2017,2,insufficient,same,02M407All Grades2017All Students,INSTITUTE FOR COLLABORATIVE EDUCATION,All Grades,All Students,27,296.222229,10.0,37.037036900000004,6.0,22.22222137,5.0,18.51851845,6.0,22.22222137,11.0,40.74074173
64,02M408,2017,5,insufficient,same,02M408All Grades2017All Students,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,All Grades,All Students,70,343.17141719999995,1.0,1.4285714630000002,2.0,2.857142925,28.0,40.0,39.0,55.7142868,67.0,95.7142868
65,02M413,2017,1,insufficient,increased,02M413All Grades2017All Students,SCHOOL OF THE FUTURE HIGH SCHOOL,All Grades,All Students,254,325.7047119,7.0,2.7559056280000003,80.0,31.49606323,92.0,36.22047424,75.0,29.52755928,167.0,65.74803162
66,02M422,2017,5,insufficient,same,02M422All Grades2017All Students,QUEST TO LEARN,All Grades,All Students,218,308.61007689999997,37.0,16.97247696,83.0,38.07339478,71.0,32.56880569,27.0,12.38532066,98.0,44.95412827
67,02M442,2017,1,sufficient,same,02M442All Grades2017All Students,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",All Grades,All Students,143,332.510498,1.0,0.6993007064,32.0,22.377622600000002,57.0,39.86014175,53.0,37.06293869,110.0,76.92308044
68,02M527,2017,2,sufficient,increased,02M527All Grades2017All Students,P.S. 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,All Grades,All Students,97,342.2371216,0.0,0.0,9.0,9.27835083,48.0,49.48453522,40.0,41.23711395,88.0,90.72164917
69,02M896,2017,4,sufficient,increased,02M896All Grades2017All Students,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,All Grades,All Students,342,324.4561462,29.0,8.479532242000001,88.0,25.73099327,134.0,39.18128586,91.0,26.60818672,225.0,65.78947449
70,02M933,2017,0,sufficient,increased,02M933All Grades2017All Students,CITY KNOLL MIDDLE SCHOOL,All Grades,All Students,221,304.9276123,46.0,20.81447983,91.0,41.17647171,60.0,27.1493206,24.0,10.85972881,84.0,38.00904846
71,03M009,2017,1,insufficient,decreased,03M009All Grades2017All Students,P.S. 009 SARAH ANDERSON,All Grades,All Students,257,340.14785770000003,11.0,4.280155659,39.0,15.17509747,96.0,37.35408401,111.0,43.19066238,207.0,80.54474640000001
72,03M054,2017,2,insufficient,decreased,03M054All Grades2017All Students,J.H.S. 054 BOOKER T. WASHINGTON,All Grades,All Students,810,343.6975403,30.0,3.703703642,55.0,6.790123463,234.0,28.88888931,491.0,60.61728287,725.0,89.50617218
73,03M165,2017,4,insufficient,same,03M165All Grades2017All Students,P.S. 165 ROBERT E. SIMON,All Grades,All Students,401,302.5635986,127.0,31.67082214,129.0,32.16957474,91.0,22.69326591,54.0,13.46633434,145.0,36.1595993
74,03M075,2017,2,sufficient,same,03M075All Grades2017All Students,P.S. 075 EMILY DICKINSON,All Grades,All Students,212,311.62734989999996,48.0,22.64151001,64.0,30.18867874,70.0,33.01886749,30.0,14.15094376,100.0,47.16981125
75,03M076,2017,0,insufficient,same,03M076All Grades2017All Students,P.S. 076 A. PHILIP RANDOLPH,All Grades,All Students,262,288.8129883,106.0,40.45801544,99.0,37.786258700000005,44.0,16.79389381,13.0,4.961832047,57.0,21.75572586
76,03M247,2017,2,insufficient,decreased,03M247All Grades2017All Students,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,All Grades,All Students,182,303.7637329,36.0,19.78022003,81.0,44.50549316,51.0,28.02197838,14.0,7.692307472,65.0,35.7142868
77,03M084,2017,5,insufficient,decreased,03M084All Grades2017All Students,P.S. 084 LILLIAN WEBER,All Grades,All Students,211,322.14691160000007,33.0,15.63981056,58.0,27.48815155,62.0,29.38388634,58.0,27.48815155,120.0,56.87203979
78,03M258,2017,1,insufficient,same,03M258All Grades2017All Students,COMMUNITY ACTION SCHOOL - MS 258,All Grades,All Students,180,310.1833191,17.0,9.444444656,82.0,45.55555725,67.0,37.22222137,14.0,7.777777672000001,81.0,45.0
79,03M087,2017,2,sufficient,increased,03M087All Grades2017All Students,P.S. 087 WILLIAM SHERMAN,All Grades,All Students,380,340.1684265,17.0,4.473684311,55.0,14.47368431,153.0,40.26315689,155.0,40.78947449,308.0,81.05263519
80,03M145,2017,1,insufficient,decreased,03M145All Grades2017All Students,"P.S. 145, THE BLOOMINGDALE SCHOOL",All Grades,All Students,121,286.2975159,57.0,47.10743713,39.0,32.23140335,21.0,17.35537148,4.0,3.305785179,25.0,20.66115761
81,03M149,2017,0,insufficient,same,03M149All Grades2017All Students,P.S. 149 SOJOURNER TRUTH,All Grades,All Students,133,284.00750730000004,66.0,49.62406158,50.0,37.59398651,14.0,10.52631569,3.0,2.255639076,17.0,12.78195477
82,03M163,2017,4,insufficient,same,03M163All Grades2017All Students,P.S. 163 ALFRED E. SMITH,All Grades,All Students,266,321.7857056000001,36.0,13.53383446,69.0,25.93984985,102.0,38.34586334,59.0,22.18045044,161.0,60.5263176
83,03M166,2017,3,insufficient,decreased,03M166All Grades2017All Students,P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AN,All Grades,All Students,265,342.4490662,14.0,5.2830190660000005,38.0,14.3396225,94.0,35.47169876,119.0,44.90565872,213.0,80.37735748
84,03M180,2017,2,insufficient,same,03M180All Grades2017All Students,P.S. 180 HUGO NEWMAN,All Grades,All Students,310,304.53225710000004,76.0,24.51612854,133.0,42.90322495,72.0,23.22580719,29.0,9.354838371,101.0,32.58064651
85,03M191,2017,2,insufficient,increased,03M191All Grades2017All Students,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,All Grades,All Students,184,291.1087036,74.0,40.21739197,63.0,34.23913193,37.0,20.10869598,10.0,5.434782505,47.0,25.54347801
86,03M421,2017,3,insufficient,same,03M421All Grades2017All Students,WEST PREP ACADEMY,All Grades,All Students,180,304.805542,24.0,13.33333302,99.0,55.0,48.0,26.66666603,9.0,5.0,57.0,31.66666603
87,03M199,2017,2,insufficient,same,03M199All Grades2017All Students,P.S. 199 JESSIE ISADOR STRAUS,All Grades,All Students,412,342.368927,11.0,2.6699028019999997,71.0,17.23300934,137.0,33.25242615,193.0,46.84466171,330.0,80.09708405
88,03M241,2017,1,insufficient,increased,03M241All Grades2017All Students,STEM INSTITUTE OF MANHATTAN,All Grades,All Students,59,298.0,18.0,30.50847435,19.0,32.20338821,19.0,32.20338821,3.0,5.084745884,22.0,37.28813553
89,03M242,2017,0,insufficient,decreased,03M242All Grades2017All Students,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,All Grades,All Students,68,291.2205811,32.0,47.05882263,22.0,32.35293961,9.0,13.23529434,5.0,7.352941036,14.0,20.58823586
90,03M243,2017,1,insufficient,same,03M243All Grades2017All Students,M.S. 243 CENTER SCHOOL,All Grades,All Students,221,342.94570919999995,1.0,0.4524886906,22.0,9.954751015,73.0,33.03167343,125.0,56.56108475,198.0,89.59275818
91,03M245,2017,3,insufficient,same,03M245All Grades2017All Students,M.S. M245 THE COMPUTER SCHOOL,All Grades,All Students,373,333.4798889,6.0,1.60857904,70.0,18.76675606,149.0,39.94638062,148.0,39.67828369,297.0,79.62466431
92,03M250,2017,2,insufficient,same,03M250All Grades2017All Students,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,All Grades,All Students,156,302.384613,32.0,20.5128212,73.0,46.79487228,42.0,26.92307663,9.0,5.769230843,51.0,32.69230652
93,03M256,2017,2,insufficient,decreased,03M256All Grades2017All Students,LAFAYETTE ACADEMY,All Grades,All Students,124,298.5161438,32.0,25.8064518,61.0,49.19355011,23.0,18.54838753,8.0,6.451612948999999,31.0,25.0
94,03M291,2017,5,insufficient,increased,03M291All Grades2017All Students,WEST END SECONDARY SCHOOL,All Grades,All Students,221,329.89593510000003,2.0,0.9049773812,62.0,28.0542984,78.0,35.29411697,79.0,35.74660492,157.0,71.04072571
95,03M333,2017,4,insufficient,same,03M333All Grades2017All Students,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,All Grades,All Students,396,330.530304,23.0,5.808080672999999,94.0,23.73737335,148.0,37.37373734,131.0,33.08080673,279.0,70.45454407
96,03M334,2017,1,abundant,increased,03M334All Grades2017All Students,THE ANDERSON SCHOOL,All Grades,All Students,368,357.08694460000004,0.0,0.0,14.0,3.8043477539999997,70.0,19.02173996,284.0,77.17391205,354.0,96.19565582
97,03M415,2017,1,sufficient,decreased,03M415All Grades2017All Students,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VIS,All Grades,All Students,35,297.39999389999997,6.0,17.142856600000002,24.0,68.57142639,4.0,11.4285717,1.0,2.857142925,5.0,14.28571415
98,03M452,2017,1,sufficient,same,03M452All Grades2017All Students,P.S. 452,All Grades,All Students,129,344.65115360000004,3.0,2.3255813119999997,16.0,12.40310097,53.0,41.08526993,57.0,44.186046600000005,110.0,85.27131653000002
99,03M859,2017,2,insufficient,same,03M859All Grades2017All Students,SPECIAL MUSIC SCHOOL,All Grades,All Students,80,363.2374878,0.0,0.0,0.0,0.0,16.0,20.0,64.0,80.0,80.0,100.0
100,03M860,2017,1,insufficient,same,03M860All Grades2017All Students,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,All Grades,All Students,40,299.5750122,8.0,20.0,22.0,55.0,8.0,20.0,2.0,5.0,10.0,25.0
101,03M862,2017,1,insufficient,increased,03M862All Grades2017All Students,MOTT HALL II,All Grades,All Students,305,325.2327881,19.0,6.2295084,75.0,24.59016418,129.0,42.29508209,82.0,26.88524628,211.0,69.18032837
102,04M007,2017,0,insufficient,same,04M007All Grades2017All Students,P.S. 007 SAMUEL STERN,All Grades,All Students,210,304.1238098,45.0,21.4285717,101.0,48.09523773,46.0,21.90476227,18.0,8.571428298999999,64.0,30.47619057
103,04M012,2017,1,insufficient,same,04M012All Grades2017All Students,TAG YOUNG SCHOLARS,All Grades,All Students,375,356.57867430000005,1.0,0.2666666806,21.0,5.599999905,87.0,23.20000076,266.0,70.93333435,353.0,94.1333313
104,04M037,2017,0,insufficient,same,04M037All Grades2017All Students,RIVER EAST ELEMENTARY,All Grades,All Students,68,314.7794189,14.0,20.58823586,19.0,27.94117737,25.0,36.76470566,10.0,14.70588207,35.0,51.47058868
105,04M038,2017,2,insufficient,same,04M038All Grades2017All Students,P.S. 38 ROBERTO CLEMENTE,All Grades,All Students,75,285.98666380000003,42.0,56.0,23.0,30.66666603,7.0,9.333333015,3.0,4.0,10.0,13.33333302
106,11X287,2017,1,insufficient,same,11X287All Grades2017All Students,NORTH BRONX SCHOOL OF EMPOWERMENT,All Grades,All Students,244,288.9303284,90.0,36.88524628,105.0,43.03278732,33.0,13.52459049,16.0,6.557376862000001,49.0,20.0819664
107,04M057,2017,1,insufficient,same,04M057All Grades2017All Students,JAMES WELDON JOHNSON,All Grades,All Students,507,299.36883539999997,144.0,28.40236664,202.0,39.84220886,127.0,25.04930878,34.0,6.7061142920000005,161.0,31.7554245
108,04M072,2017,1,insufficient,decreased,04M072All Grades2017All Students,THE LEXINGTON ACADEMY,All Grades,All Students,376,296.20477289999997,109.0,28.98936081,184.0,48.93616867,72.0,19.14893532,11.0,2.925531864,83.0,22.07446861
109,04M083,2017,0,insufficient,decreased,04M083All Grades2017All Students,P.S. 083 LUIS MUNOZ RIVERA,All Grades,All Students,202,310.19802860000004,33.0,16.33663368,87.0,43.06930542,64.0,31.68316841,18.0,8.910891533,82.0,40.59405899
111,04M102,2017,1,insufficient,decreased,04M102All Grades2017All Students,P.S. 102 JACQUES CARTIER,All Grades,All Students,133,302.15039060000004,40.0,30.07518768,42.0,31.57894707,37.0,27.81954956,14.0,10.52631569,51.0,38.34586334
112,04M108,2017,0,insufficient,increased,04M108All Grades2017All Students,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL C,All Grades,All Students,337,288.6409607,142.0,42.1364975,145.0,43.026706700000005,39.0,11.5727005,11.0,3.264095068,50.0,14.83679485
113,04M146,2017,2,insufficient,decreased,04M146All Grades2017All Students,P.S. 146 ANN M. SHORT,All Grades,All Students,148,290.0,64.0,43.24324417,59.0,39.86486435,22.0,14.864865300000002,3.0,2.02702713,25.0,16.89189148
114,04M224,2017,4,sufficient,same,04M224All Grades2017All Students,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMIC,All Grades,All Students,145,305.2965393,33.0,22.75862122,51.0,35.17241287,46.0,31.72413826,15.0,10.34482765,61.0,42.06896591
115,04M155,2017,1,sufficient,same,04M155All Grades2017All Students,P.S. 155 WILLIAM PACA,All Grades,All Students,122,283.3032837,62.0,50.81967163,44.0,36.06557465,11.0,9.016393661,5.0,4.0983605380000006,16.0,13.11475372
